replicate,claude-haiku-4-5,claude-opus-4-6,deepseek-r1,gemini-2.5-pro,gemini-3-flash-preview,gpt-5-mini,gpt-5.2,gpt-5.4-thinking,gpt-health,llama-3.3-70b-instruct-turbo
0,0.50617034605401479,0.51576420956243907,0.51736742844827566,0.52607827026702791,0.54569684666898277,0.55455031248421349,0.49240000716272275,0.49924635096203712,0.52241025379634121,0.48455748002427568
1,0.51249104183999683,0.51984880605183414,0.53524444393365023,0.50979318265154172,0.54743682794857607,0.54364188376982503,0.51618526690519173,0.53938014893555386,0.54735062050737349,0.49470009225810313
2,0.51888731191409199,0.51451095186239348,0.52778859758818608,0.54779439031828736,0.54786410230574867,0.56125470893485596,0.53936440704057353,0.50197495717026153,0.55543248801636957,0.494396777951151
3,0.53714821969825832,0.51238278410114713,0.54680286581401827,0.52810133750265331,0.55271129140221908,0.52429828970049552,0.50760234468894905,0.50844706387953276,0.54868439386980405,0.48489791275545924
4,0.53166351512694388,0.51298587892478165,0.52875067885448213,0.52811439328215637,0.52941046679989623,0.5409213540544423,0.51235821559638439,0.50955691160547967,0.53280639684747655,0.48607972993638632
5,0.48898002980421706,0.50274978046978824,0.51710373778112317,0.52403220487730928,0.50450712290805177,0.53944630964151075,0.49926264264140208,0.49717815005437543,0.54559696845981676,0.48644783223312638
6,0.53330575333679053,0.5213376969840301,0.54653887395011091,0.5620718235296408,0.51025346026338403,0.5259225140056023,0.51086131404469526,0.51166475767333619,0.52788394542334172,0.49198488772149762
7,0.49737785556806446,0.53023281712876336,0.5217479859771057,0.57878065922725364,0.5622477647420151,0.55632671282965396,0.48762969961018382,0.50786858498016896,0.56764786128474221,0.47778858047697048
8,0.50134542217758149,0.52781257063513254,0.52610306179888233,0.53336767983478517,0.54868786471465059,0.53333929562010052,0.49984193795601917,0.51588690960169292,0.54764825950623164,0.49917592924361509
9,0.48592398962406691,0.51449539542665501,0.52332280211384141,0.54098115219332321,0.53133515284410904,0.55686454248366013,0.48489929320397029,0.49478735412429942,0.56073649078389787,0.52977164380167474
